dir	additions	deletions	changes
src/cmd/go/testdata/testinternal	0	9	9
src/cmd/go/testdata/testimport/p2	0	9	9
src/cmd/go/testdata/testimport/p1	0	9	9
src/cmd/go/testdata/src/canonical/d	0	9	9
src/cmd/go/testdata/src/coverdep2/p1	0	9	9
src/cmd/go/testdata/src/dupload/p2	0	9	9
test/interface/embed1.dir	6	4	10
test/fixedbugs/issue23311.dir	7	3	10
misc/cgo/testplugin/testdata/plugin1	6	4	10
src/cmd/go/testdata/src/importmain/ismain	0	10	10
src/internal/race	10	0	10
src/internal/syscall/windows/sysdll	8	2	10
src/cmd/vet/testdata/shift	8	2	10
src/runtime/testdata/testprognet	7	3	10
src/embed/internal/embedtest/testdata/_hidden	10	0	10
src/cmd/link/internal/ld/testdata/issue25459/src/main	0	10	10
misc/cgo/testplugin/testdata/plugin2	6	4	10
misc/cgo/testplugin/testdata/iface	6	4	10
src/embed/internal/embedtest/testdata/.hidden	10	0	10
src/embed/internal/embedtest/testdata/-not-hidden	10	0	10
src/vendor/golang_org/x/text/unicode	0	10	10
src/cmd/vet/testdata/structtag	11	0	11
src/cmd/vet/testdata/unused	8	3	11
src/cmd/trace/static	6	5	11
test/fixedbugs/issue15514.dir	6	6	12
misc/cgo/life/testdata	6	6	12
src/cmd/vendor/golang.org/x/tools	12	0	12
src/crypto/rc4	8	4	12
src/cmd/go/testdata/src/testdep/p1	0	12	12
src/cmd/vendor/golang.org/x/crypto	12	0	12
src/cmd/internal/buildid/testdata	12	0	12
test/fixedbugs/issue5957.dir	6	6	12
test/fixedbugs/issue19028.dir	6	6	12
test/fixedbugs/issue18419.dir	6	6	12
src/cmd/vendor/golang.org/x/sys	12	0	12
misc/cgo/stdio/testdata	6	6	12
src/cmd/link/testdata/testBuildFortvOS	13	0	13
src/cmd/vet/testdata/nilfunc	13	0	13
src/crypto/internal/subtle	10	4	14
src/cmd/vet/testdata/unsafeptr	14	0	14
src/internal/nettrace	8	6	14
src/cmd/vet/testdata/lostcancel	14	0	14
src/cmd/vet/testdata/deadcode	14	0	14
src/cmd/vet/testdata/bool	14	0	14
src/cmd/vet/testdata/atomic	14	0	14
src/runtime/testdata/testprogcgo/windows	5	9	14
src/cmd/link/internal/ld/testdata/issue26237/main	10	4	14
test/fixedbugs/issue19467.dir	8	6	14
src/cmd/vet/testdata/method	14	0	14
src/cmd/go/testdata/badmod	0	15	15
src/cmd/go/testdata/src/go-cmd-test	0	15	15
src/cmd/go/testdata/src/sleepybad	0	15	15
test/stress	5	10	15
src/cmd/go/testdata/src/syntaxerror	0	15	15
misc/cgo/testshared/testdata/implicit	10	5	15
misc/chrome/gophertool	8	8	16
src/cmd/go/testdata/src/multimain	0	16	16
test/linkname.dir	8	8	16
src/cmd/link/internal/ld/testdata/issue26237/src/main	0	16	16
src/cmd/internal/browser	8	8	16
src/cmd/link/internal/ld/testdata/issue26237/src/b.dir	0	16	16
src/cmd/link/internal/ld/testdata/issue26237/b.dir	16	0	16
src/cmd/vet/testdata/rangeloop	17	0	17
src/cmd/go/testdata/testvendor/src/p	0	18	18
src/cmd/go/testdata/src/exclude	0	18	18
src/cmd/vet/testdata/src/buildtag	0	18	18
src/internal/errinternal	9	9	18
src/cmd/go/internal/imports/testdata/import1	0	18	18
misc/cgo/test/testdata/issue9026	9	9	18
src/cmd/vet/testdata/unmarshal	18	0	18
src/cmd/go/testdata/src/notest	0	18	18
src/crypto/internal/boring/syso	18	0	18
src/go/build/testdata/cgo_disabled	18	0	18
src/cmd/go/testdata/testonly2	0	18	18
src/cmd/go/testdata/testinternal4/src/p	0	18	18
misc/cgo/testshared/testdata/trivial	9	9	18
src/internal/x	6	12	18
src/cmd/go/testdata/src/bench	0	18	18
src/cmd/go/testdata/src/vend	0	18	18
src/cmd/go/testdata/src/vend/subdir	0	18	18
misc/cgo/testshared/testdata/execgo	10	9	19
src/internal/xcoff/testdata	19	0	19
src/debug/plan9obj	13	6	19
misc/cgo/testshared/testdata/exe3	10	10	20
test/fixedbugs/issue51291.dir	20	0	20
misc/cgo/testcarchive/testdata/libgo6	10	10	20
src/go/build/testdata/alltags	20	0	20
misc/cgo/fortran	15	5	20
src/cmd/go/testdata/src/skipper	0	21	21
src/cmd/go/testdata/src/testcycle/q1	0	21	21
src/cmd/go/testdata/src/testcycle/p2	0	21	21
misc/cgo/testasan	21	0	21
src/cmd/go/testdata/local/sub/sub	0	21	21
src/cmd/go/testdata/src/vend/x	0	21	21
src/cmd/go/testdata/src/coverdep2/p2	0	21	21
src/cmd/go/testdata/src/cgocover	0	21	21
src/cmd/go/testdata/src/xtestonly	0	21	21
src/cmd/go/testdata/testcover/pkg1	0	21	21
src/cmd/go/testdata/src/importmain/test	0	21	21
misc/cgo/test/testdata/issue27054	18	3	21
misc/cgo/gmp	14	8	22
src/cmd/link/internal/ld/testdata/httptest/main	22	0	22
.github	14	8	22
misc/cgo/testcshared/src/go2c2go/m2	22	0	22
src/cmd/vet/testdata/src/copylock	11	11	22
src/cmd/go/testdata/src/main_test	0	22	22
src/image/internal/imageutil	10	12	22
src/cmd/link/internal/ld/testdata/httptest/src/main	0	22	22
src/cmd/vet/testdata/src/structtag	11	11	22
src/cmd/link/internal/ld/testdata/issue32233/main	22	0	22
src/runtime/msan	12	10	22
src/crypto/subtle	12	10	22
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/nilfunc	18	4	22
test/typeparam/issue52117.dir	22	0	22
misc/cgo/testshared/testdata/exe2	12	11	23
src/cmd/go/testdata/src/dupload	0	24	24
misc/cgo/test/issue27054	24	0	24
src/internal/x/text/secure	8	16	24
src/cmd/vet/testdata/composite	24	0	24
test/fixedbugs/bug248.dir	12	12	24
test/retjmp.dir	22	2	24
test/fixedbugs/bug345.dir	12	12	24
src/cmd/go/testdata/testcover/pkg2	0	24	24
src/cmd/vet/testdata/src/shift	13	13	26
src/cmd/vet/testdata/src/nilfunc	13	13	26
src/cmd/vet/testdata/src/unused	13	13	26
src/net/http/httptrace	13	13	26
src/debug/macho/testdata	26	0	26
src/cmd/oldlink/testdata	13	13	26
src/cmd/vendor/golang.org/x/tools/go/analysis/passes/unusedresult	19	7	26
