date,dir,dir
2013,src/pkg/text/tabwriter,1
2013,src/pkg/crypto/hmac,1
2013,src/pkg/crypto/aes,1
2013,src/pkg/container/ring,1
2013,misc/IntelliJIDEA,1
2013,misc/cgo/gmp,1
2013,misc/cgo/testasan,1
2013,misc/dashboard/app,1
2013,misc/dashboard/app/cache,1
2013,misc/dist/darwin,1
2013,misc/makerelease,1
2013,misc/makerelease/darwin,1
2013,misc/makerelease/darwin/Resources,1
2013,misc/makerelease/darwin/etc/paths.d,1
2013,misc/osx/etc/paths.d,1
2013,misc/osx/scripts,1
2013,misc/swig/stdio,1
2013,misc/vim/compiler,1
2013,misc/vim/ftplugin,1
2013,misc/vim/indent,1
2013,misc/vim/syntax,1
2013,misc/xcode/4,1
2013,misc/zsh,1
2013,src/cmd/api/testdata/src/pkg/p3,1
2013,src/cmd/go/testdata/shadow/root1/src/foo,1
2013,src/cmd/go/testdata/shadow/root1/src/math,1
2013,src/cmd/go/testdata/shadow/root2/src/foo,1
2013,src/cmd/go/testdata/src/badpkg,1
2013,src/cmd/go/testdata/src/cgotest,1
2013,src/pkg/archive/zip/testdata,1
2013,src/pkg/compress/gzip/testdata,1
2012,test/fixedbugs/bug382.dir,1
2018,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/unmarshal,1
2018,src/cmd/vet/internal/whitelist,1
2018,src/cmd/vet/testdata/incomplete,1
2021,src/compress/bzip2,1
2021,src/compress/zlib,1
2021,src/crypto/boring,1
2021,src/crypto/des,1
2021,src/crypto/internal/boring/sig,1
2021,src/crypto/subtle,1
2021,src/crypto/x509/pkix,1
2021,src/embed/internal/embedtest/testdata/.hidden,1
2021,src/embed/internal/embedtest/testdata/.hidden/.more,1
2021,src/embed/internal/embedtest/testdata/.hidden/_more,1
2021,src/embed/internal/embedtest/testdata/.hidden/more,1
2021,src/embed/internal/embedtest/testdata/_hidden,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/unusedresult,1
2021,src/go/parser/testdata/issue42951/not_a_file.go,1
2021,src/internal/nettrace,1
2021,src/internal/obscuretestdata,1
2021,src/internal/unsafeheader,1
2021,src/mime/quotedprintable,1
2021,src/os/testdata,1
2021,src/runtime/testdata/testwinlib,1
2021,src/vendor/golang.org/x/net/http2/hpack,1
2021,test/fixedbugs/issue10700.dir,1
2021,test/ken,1
2022,misc/cgo/test/testdata,1
2022,misc/cgo/test/testdata/issue9400,1
2022,misc/cgo/testplugin/testdata/forkexec,1
2021,src/internal/lazytemplate,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/unsafeptr,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/nilfunc,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/ifaceassert,1
2020,src/cmd/vendor/golang.org/x/tools/cover,1
2020,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/bools,1
2020,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/lostcancel,1
2020,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/shift,1
2020,src/debug/macho,1
2021,api/next,1
2021,misc/cgo/testplugin/testdata/forkexec,1
2021,src/cmd/addr2line,1
2021,src/cmd/api/testdata/src/issue21181/p,1
2021,src/cmd/api/testdata/src/pkg/p1,1
2021,src/cmd/buildid,1
2021,src/cmd/compile/internal/gc/testdata/reproducible,1
2021,src/cmd/doc/testdata/nested,1
2021,src/cmd/go/internal/auth,1
2021,src/cmd/go/internal/cmdflag,1
2021,src/cmd/go/internal/imports/testdata/star,1
2021,src/cmd/go/internal/modfetch/zip_sum_test,1
2021,src/cmd/go/testdata/testterminal18153,1
2021,src/cmd/internal/codesign,1
2021,src/cmd/internal/test2json,1
2021,src/cmd/internal/traceviewer,1
2021,src/cmd/link/internal/dwtest,1
2021,src/cmd/link/internal/ld/testdata/issue39256,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/internal/facts,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/copylock,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/ctrlflow,1
2021,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/framepointer,1
2022,misc/cgo/testplugin/testdata/issue52937,1
2020,src/cmd/link/internal/loadelfold,1
2022,src/cmd/api/testdata/src/issue21181/p,1
2022,src/cmd/api/testdata/src/pkg/p4,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/stdmethods,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/stringintconv,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/unitchecker,1
2022,src/cmd/vendor/golang.org/x/tools/go/ast/inspector,1
2022,src/cmd/vendor/golang.org/x/tools/txtar,1
2022,src/cmd/vendor/golang.org/x/xerrors/internal,1
2022,src/crypto/md5,1
2022,src/crypto/subtle,1
2022,src/debug/plan9obj,1
2022,src/embed/internal/embedtest,1
2022,src/encoding/base64,1
2022,src/internal/goroot,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/sigchanyzer,1
2022,src/internal/lazytemplate,1
2022,src/mime/quotedprintable,1
2022,src/net/http/httptrace,1
2022,src/net/http/internal/testcert,1
2022,src/testing/internal/testdeps,1
2022,src/vendor/golang.org/x/crypto/chacha20,1
2022,src/vendor/golang.org/x/crypto/curve25519/internal/field,1
2022,src/vendor/golang.org/x/net/http/httpguts,1
2022,src/vendor/golang.org/x/net/http2/hpack,1
2022,test/closure3.dir,1
2022,test/fixedbugs/issue20014.dir,1
2022,test/fixedbugs/issue47201.dir,1
2022,test/interface,1
2022,src/internal/unsafeheader,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/shift,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/loopclosure,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/inspect,1
2022,src/cmd/doc/testdata,1
2022,src/cmd/doc/testdata/nested,1
2022,src/cmd/go/internal/cmdflag,1
2022,src/cmd/go/internal/imports/testdata/star,1
2022,src/cmd/go/internal/test/internal/genflags,1
2022,src/cmd/go/testdata/testterminal18153,1
2022,src/cmd/internal/browser,1
2022,src/cmd/internal/dwarf,1
2022,src/cmd/internal/obj/loong64,1
2022,src/cmd/internal/objfile,1
2022,src/cmd/internal/pkgpath,1
2022,src/cmd/internal/quoted,1
2022,src/cmd/internal/traceviewer,1
2022,src/cmd/link/internal/amd64,1
2022,src/cmd/link/internal/dwtest,1
2022,src/cmd/link/internal/loadmacho,1
2022,src/cmd/link/internal/x86,1
2022,src/cmd/vendor/github.com/google/pprof/internal/measurement,1
2022,src/cmd/vendor/golang.org/x/mod/semver,1
2022,src/cmd/vendor/golang.org/x/mod/sumdb,1
2022,src/cmd/vendor/golang.org/x/mod/sumdb/note,1
2022,src/cmd/vendor/golang.org/x/mod/sumdb/tlog,1
2022,src/cmd/vendor/golang.org/x/mod/zip,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/bools,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/cgocall,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/ctrlflow,1
2022,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/errorsas,1
2022,src/cmd/api/testdata/src/pkg/p1,1
2020,src/cmd/link/internal/ld/testdata/issue42484,1
2020,src/cmd/internal/goobj/testdata/mycgo,1
2020,src/cmd/go/testdata/src/vend/x/vendor/p/p,1
2018,src/internal/x/text/secure,1
2018,src/internal/x/text/secure/bidirule,1
2018,src/internal/x/text/unicode,1
2018,src/net/http/cookiejar,1
2018,test/fixedbugs/issue19507.dir,1
2018,test/fixedbugs/issue23311.dir,1
2019,misc/cgo/test/issue27340,1
2019,misc/cgo/test/issue9026,1
2019,misc/cgo/testcshared/src/go2c2go/go,1
2019,misc/cgo/testcshared/src/go2c2go/m2,1
2019,misc/cgo/testshared/src/exe2,1
2019,misc/cgo/testshared/src/execgo,1
2018,src/internal/x/crypto/cryptobyte/asn1,1
2019,misc/cgo/testshared/src/explicit,1
2019,misc/cgo/testshared/src/implicit,1
2019,src/cmd/go/internal/fix,1
2019,src/cmd/go/testdata/src/badpkg,1
2019,src/cmd/go/testdata/src/bench,1
2019,src/cmd/go/testdata/src/cgoasm,1
2019,src/cmd/go/testdata/src/cgocover,1
2019,src/cmd/go/testdata/src/cgocover2,1
2019,src/cmd/go/testdata/src/coverdep/p1,1
2019,src/cmd/go/testdata/src/coverdep2/p1,1
2019,src/cmd/go/testdata/src/coverdep2/p2,1
2019,src/cmd/go/testdata/src/coverdot1,1
2019,src/cmd/go/testdata/src/dupload,1
2019,misc/cgo/testshared/src/global,1
2018,src/internal/x,1
2018,src/internal/testlog,1
2018,src/internal/lazyregexp,1
2018,src/cmd/vet/testdata/src/assign,1
2018,src/cmd/vet/testdata/src/atomic,1
2018,src/cmd/vet/testdata/src/bool,1
2018,src/cmd/vet/testdata/src/buildtag,1
2018,src/cmd/vet/testdata/src/cgo,1
2018,src/cmd/vet/testdata/src/composite,1
2018,src/cmd/vet/testdata/src/copylock,1
2018,src/cmd/vet/testdata/src/deadcode,1
2018,src/cmd/vet/testdata/src/httpresponse,1
2018,src/cmd/vet/testdata/src/lostcancel,1
2018,src/cmd/vet/testdata/src/method,1
2018,src/cmd/vet/testdata/src/nilfunc,1
2018,src/cmd/vet/testdata/src/print,1
2018,src/cmd/vet/testdata/src/rangeloop,1
2018,src/cmd/vet/testdata/src/shift,1
2018,src/cmd/vet/testdata/src/structtag,1
2018,src/cmd/vet/testdata/src/unmarshal,1
2018,src/cmd/vet/testdata/src/unsafeptr,1
2018,src/cmd/vet/testdata/src/unused,1
2018,src/cmd/vet/testdata/testingpkg,1
2018,src/crypto/dsa,1
2018,src/crypto/internal/randutil,1
2018,src/go/build/testdata/withvendor/src/a/b,1
2018,src/go/build/testdata/withvendor/src/a/vendor/c/d,1
2018,src/go/internal/srcimporter/testdata/issue23092,1
2018,src/go/internal/srcimporter/testdata/issue24392,1
2018,src/hash/fnv,1
2019,src/cmd/go/testdata/src/dupload/p,1
2019,src/cmd/go/testdata/src/dupload/p2,1
2019,src/cmd/go/testdata/src/dupload/vendor/p,1
2019,src/cmd/go/testdata/src/importmain/ismain,1
2019,src/vendor/golang_org/x/text/secure,1
2019,src/vendor/golang_org/x/text/secure/bidirule,1
2019,src/vendor/golang_org/x/text/unicode,1
2019,test/fixedbugs/issue19507.dir,1
2019,test/fixedbugs/issue23311.dir,1
2020,misc/cgo/errors/testdata,1
2020,misc/cgo/fortran,1
2020,misc/cgo/life,1
2020,misc/cgo/stdio,1
2020,misc/cgo/testasan,1
2020,misc/cgo/testsigfwd,1
2020,misc/chrome/gophertool,1
2020,misc/reboot,1
2020,src/cmd/compile/internal/deadcode,1
2020,src/cmd/compile/internal/importer/testdata/versions,1
2020,src/cmd/doc/testdata/nested/empty,1
2020,src/cmd/go/testdata/local/sub,1
